Place	Bib	Name	Gender	Age	City	State	Last Loop	Fast Loop	Avg Loop	Slow Loop	Laps	Miles	KM	RaceTime
RTC	68	Andres Villagran	M	39	ECU	56:55	46:10	51:38	56:55	39	162.50	261.41	33:34:13
DNC	29	Eric Deshaies	M	50	Gatineau	QC	46:44	35:15	47:12	52:54	37	154.16	248.09	29:06:39
DNC	54	Branislav Pavic	M	44	Gothenburg	SWE	52:09	41:23	47:25	54:20	37	154.16	248.09	29:14:37
DNC	59	Nima Javaheri	M	41	Zurich	CHE	51:59	42:16	50:16	57:07	37	154.16	248.09	31:00:28
OVER	33	Ritvars Kalninš	M	49	Valmiera	LVA	48:15	31:58	46:30	58:44	36	150.00	241.40	27:54:23
RTC	77	Markus Schieder	M	35	Grafendorf bei Hartberg	AUT	58:25	41:08	46:33	58:25	35	145.83	234.60	27:09:39
RTC	58	Patrik Hrotek	M	32	Horná Ves	SVK	59:50	42:16	49:27	59:50	34	141.66	228.10	28:01:48
OVER	21	David Stoltenborg	M	35	Egtved	DNK	53:56	43:06	49:46	56:26	34	141.66	228.10	28:12:10
OVER	53	Kevin McCabe	M	43	Cary	NC	57:19	47:18	53:02	57:19	33	137.50	221.40	29:10:32
DNC	67	Visa Kivinen	M	54	Espoo	FIN	56:53	30:48	51:22	56:53	31	129.16	207.89	26:32:36
RTC	16	Ryan Crawford	M	39	Gympie	AUS	53:37	43:07	48:38	55:17	30	125.00	201.17	24:19:12
OVER	43	Pawel Pszczólkowski	M	35	Olsztyn	POL	57:40	33:04	47:13	57:40	29	120.83	194.37	22:49:36
OVER	27	Søren Møller	M	49	Vester Skerninge	DNK	54:25	43:08	47:30	54:25	29	120.83	194.37	22:57:52
RTC	70	Abderrahmane Ait Haddou	M	45	Eljadida	MAR	58:20	38:20	48:48	58:20	28	116.66	187.57	22:46:24
OVER	60	Christian Mauduit	M	48	Argenteuil	FRA	59:25	46:30	49:36	59:25	28	116.66	187.57	23:08:52
DNC	38	Matteo Tenchio	M	43	Carì	CHE	59:33	45:59	52:40	59:33	28	116.66	187.57	24:34:56
DNC	31	Szilard Fodor	M	46	Helsinki	FIN	58:27	43:44	51:38	58:27	27	112.50	181.07	23:14:23
RTC	63	Thorleifur Thorleifsson	M	44	Reykjavík	ISL	59:57	45:37	53:10	59:57	27	112.50	181.07	23:55:50
OVER	35	Patryk Swietochowski	M	18	Minsk Mazowiecki	POL	55:20	43:04	50:43	58:40	25	104.16	167.71	21:08:19
DNC	46	Philippe Pollesel	M	53	Pomport	FRA	59:31	49:15	53:42	59:31	25	104.16	167.71	22:22:35
OVER	71	Van Da Bui	M	45	Ho Chi Minh	VNM	45:47	36:25	44:30	51:38	24	100.00	160.93	17:48:18
RTC	72	Rene Romualdo Cunha	M	44	Santa Cruz Do Capibaribe	BRA	48:27	38:33	42:40	48:27	23	95.83	154.23	16:21:39
OVER	47	Fabrice Puaud	M	55	Mignaloux-Beauvoir	FRA	56:58	44:00	50:18	56:58	10	41.66	67.04	8:23:05
RTC	65	Kartik Joshi	M	22	Indore	IND	54:09	47:16	51:03	56:09	9	37.50	60.35	7:39:31
