#	Measurement	Lap Split	Rest Time
1	7:54:51	54:51	05:08
2	8:52:30	52:30	07:29
3	9:52:54	52:54	07:05
4	10:53:34	53:33	06:26
5	11:53:42	53:42	06:17
6	12:53:50	53:49	06:10
7	13:53:42	53:42	06:17
8	14:54:21	54:21	05:38
9	15:54:57	54:56	05:03
10	16:55:56	55:56	04:03
11	17:55:10	55:10	04:49
12	18:52:50	52:50	07:09
13	19:53:10	53:10	06:49
14	20:54:46	54:46	05:13
15	21:55:04	55:04	04:55
16	22:54:57	54:57	05:02
17	23:53:06	53:06	06:53
18	24:55:15	55:15	04:44
19	25:54:34	54:34	05:25
20	26:50:26	50:26	09:33
21	27:55:07	55:07	04:52
22	28:45:39	45:39	14:20
23	29:55:21	55:21	04:38
24	30:52:15	52:15	07:44
25	31:55:34	55:34	04:25
26	32:55:32	55:32	04:27
27	33:55:18	55:18	04:41
28	34:55:49	55:49	04:10
29	35:56:48	56:48	03:11
30	36:56:38	56:38	03:21
31	37:55:56	55:56	04:03
32	38:55:42	55:42	04:17
33	39:56:37	56:37	03:22
34	40:57:52	57:52	02:07
35	41:57:31	57:31	02:28
36	42:56:35	56:35	03:24
37	43:57:25	57:25	02:34
38	44:53:33	53:33	06:26
39	45:56:06	56:06	03:53
40	46:54:22	54:22	05:37
41	47:55:17	55:17	04:42
42	48:54:21	54:21	05:38
43	49:54:14	54:14	05:45
44	50:55:56	55:56	04:03
45	51:56:03	56:03	03:56
46	52:56:02	56:02	03:57
47	53:56:51	56:51	03:08
48	54:55:53	55:52	04:07
